lineage,edge,weight,specificity
T cell CD4,PTPRC->LCK,1.0,8.656911e-07
T cell CD4,PTPRC->FYN,1.0,6.98741e-07
T cell CD4,CD3E->FYN,1.0,6.211886e-07
T cell CD4,FYN->LCK,1.0,3.3484181e-07
T cell CD4,CD247->FYN,1.0,1.8767416e-07
T cell CD4,CD4->LCK,1.0,1.05859655e-07
T cell CD4,CBLB->LCK,1.0,9.666076e-08
T cell CD4,LCK->ZAP70,1.0,8.8282476e-08
T cell CD4,CBLB->FYN,1.0,7.516043e-08
T cell CD4,FYN->ZAP70,1.0,7.23621e-08
T cell CD8,PTPRC->FYN,1.0,1.2550022e-06
T cell CD8,PTPRC->LCK,1.0,1.2197593e-06
T cell CD8,CD3E->FYN,1.0,8.989377e-07
T cell CD8,FYN->LCK,1.0,4.907062e-07
T cell CD8,FOS->IFNG,1.0,4.330636e-07
T cell CD8,CD247->FYN,1.0,3.1992022e-07
T cell CD8,CBLB->FYN,1.0,2.0850482e-07
T cell CD8,CBLB->LCK,1.0,2.0119629e-07
T cell CD8,FYN->ZAP70,1.0,1.3366424e-07
T cell CD8,LCK->ZAP70,1.0,1.2859422e-07
B cell,LYN->CD79A,1.0,1.0868715e-06
B cell,LYN->CD79B,1.0,4.4339052e-07
B cell,LYN->BANK1,1.0,3.672907e-07
B cell,BANK1->PLCG2,1.0,3.2100385e-07
B cell,BLK->BANK1,1.0,2.7077112e-07
B cell,LYN->CD19,1.0,1.2429474e-07
B cell,PTPN6->CD22,1.0,1.0278938e-07
B cell,BLK->PLCG2,1.0,1.0016299e-07
B cell,BLNK->GRB2,1.0,8.0275704e-08
B cell,PLCG2->BLNK,1.0,7.140627e-08
NK cell,HLA-E->KLRD1,1.0,6.948347e-06
NK cell,TYROBP->KLRD1,1.0,6.6094526e-06
NK cell,FYN->TYROBP,1.0,1.6143251e-06
NK cell,FYN->CD247,1.0,1.4332437e-06
NK cell,LCK->TYROBP,1.0,1.1521344e-06
NK cell,HLA-E->KLRC1,1.0,1.0723764e-06
NK cell,TYROBP->ZAP70,1.0,1.0120287e-06
NK cell,KLRD1->KLRC1,1.0,9.2539796e-07
NK cell,KLRC1->KLRD1,1.0,9.2539796e-07
NK cell,FYN->FCER1G,1.0,9.20233e-07
Macrophage,RAC1->ARF6,1.0,3.065869e-07
Macrophage,RAC1->WASF2,1.0,2.6386635e-07
Macrophage,CDC42->VASP,1.0,2.0625973e-07
Macrophage,HCK->FCGR2A,1.0,1.6849343e-07
Macrophage,WASF2->ARPC5,1.0,1.1686183e-07
Macrophage,FCGR2A->SYK,1.0,1.0799568e-07
Macrophage,ASAP1->ARF6,1.0,9.661882e-08
Macrophage,HCK->GAB2,1.0,9.2549854e-08
Macrophage,HCK->FCGR1A,1.0,7.995059e-08
Macrophage,PTPRC->HCK,1.0,6.585489e-08
cDC,CD74->CD74,1.0,5.797382e-05
cDC,HLA-DMA->CD74,1.0,1.153669e-05
cDC,CTSB->CD74,1.0,7.560731e-06
cDC,HLA-DMA->HLA-DMA,1.0,1.7463877e-06
cDC,LGMN->CD74,1.0,8.9491516e-07
cDC,CD4->HLA-DMA,1.0,3.0284937e-07
cDC,TAPBP->TAP1,1.0,1.06141975e-08
cDC,CIITA->CREB1,1.0,8.675789e-09
cDC,CIITA->RFX5,1.0,6.2443797e-09
cDC,CIITA->NFYA,1.0,1.3918005e-09
