sampleid,cluster_id,n_cells,celltype1,frac1,celltype2,frac2,celltype3,frac3,method,rank,source,target,score
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,1,JUN,FOS,0.9641547601504808
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,2,FOS,CD69,0.9313392829700028
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,3,JUN,IL7R,0.9287185506430846
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,4,JUN,VIM,0.923952496733108
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,5,MYC,RPL10,0.9237646070994558
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,6,NFKB1,B2M,0.9208713328704276
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,7,MYC,RPL13,0.9198524443047154
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,8,TP53,EEF1A1,0.91454986940233
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,9,USF2,B2M,0.906474264096261
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,astar_path,10,JUN,KLF6,0.8935853211324187
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,1,FOS,JUNB,359.31048080219
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,2,JUNB,FOS,326.350449288659
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,3,FOS,FOSB,287.89708259161364
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,4,JUNB,ZFP36,261.99683431480355
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,5,FOS,JUN,261.48716002712564
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,6,FOSB,FOS,244.6043831421364
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,7,JUN,DUSP1,244.33004751694827
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,8,JUN,FOS,199.9740386295576
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,scenic,9,JUN,CD69,196.2715102720628
