sampleid,cluster_id,topk,method_a,method_b,n_a,n_b,intersection,union,jaccard
imm_atlas_TT_p01,0,10,astar_path,celloracle,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,0,10,astar_path,scenic,10,10,2,18,0.1111111111111111
imm_atlas_TT_p01,0,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,1,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,1,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,1,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,10,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,10,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,10,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,2,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,2,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,2,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,3,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,3,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,3,10,celloracle,scenic,10,10,2,18,0.1111111111111111
imm_atlas_TT_p01,6,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,6,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,6,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,9,10,astar_path,celloracle,10,10,0,20,0.0
imm_atlas_TT_p01,9,10,astar_path,scenic,10,10,1,19,0.05263157894736842
imm_atlas_TT_p01,9,10,celloracle,scenic,10,10,0,20,0.0
imm_atlas_TT_p01,0,20,astar_path,celloracle,20,20,1,39,0.02564102564102564
imm_atlas_TT_p01,0,20,astar_path,scenic,20,20,3,37,0.08108108108108109
imm_atlas_TT_p01,0,20,celloracle,scenic,20,20,0,40,0.0
imm_atlas_TT_p01,1,20,astar_path,celloracle,20,20,0,40,0.0
imm_atlas_TT_p01,1,20,astar_path,scenic,20,20,3,37,0.08108108108108109
imm_atlas_TT_p01,1,20,celloracle,scenic,20,20,0,40,0.0
imm_atlas_TT_p01,10,20,astar_path,celloracle,20,20,0,40,0.0
imm_atlas_TT_p01,10,20,astar_path,scenic,20,20,3,37,0.08108108108108109
imm_atlas_TT_p01,10,20,celloracle,scenic,20,20,0,40,0.0
imm_atlas_TT_p01,2,20,astar_path,celloracle,20,20,0,40,0.0
imm_atlas_TT_p01,2,20,astar_path,scenic,20,20,2,38,0.05263157894736842
imm_atlas_TT_p01,2,20,celloracle,scenic,20,20,1,39,0.02564102564102564
imm_atlas_TT_p01,3,20,astar_path,celloracle,20,20,1,39,0.02564102564102564
imm_atlas_TT_p01,3,20,astar_path,scenic,20,20,3,37,0.08108108108108109
imm_atlas_TT_p01,3,20,celloracle,scenic,20,20,6,34,0.17647058823529413
imm_atlas_TT_p01,6,20,astar_path,celloracle,20,20,0,40,0.0
imm_atlas_TT_p01,6,20,astar_path,scenic,20,20,2,38,0.05263157894736842
imm_atlas_TT_p01,6,20,celloracle,scenic,20,20,1,39,0.02564102564102564
imm_atlas_TT_p01,9,20,astar_path,celloracle,20,20,0,40,0.0
imm_atlas_TT_p01,9,20,astar_path,scenic,20,20,2,38,0.05263157894736842
imm_atlas_TT_p01,9,20,celloracle,scenic,20,20,0,40,0.0
imm_atlas_TT_p01,0,50,astar_path,celloracle,50,50,1,99,0.010101010101010102
imm_atlas_TT_p01,0,50,astar_path,scenic,50,50,6,94,0.06382978723404255
imm_atlas_TT_p01,0,50,celloracle,scenic,50,50,3,97,0.030927835051546393
imm_atlas_TT_p01,1,50,astar_path,celloracle,50,50,2,98,0.02040816326530612
imm_atlas_TT_p01,1,50,astar_path,scenic,50,50,3,97,0.030927835051546393
imm_atlas_TT_p01,1,50,celloracle,scenic,50,50,4,96,0.041666666666666664
imm_atlas_TT_p01,10,50,astar_path,celloracle,50,50,0,100,0.0
imm_atlas_TT_p01,10,50,astar_path,scenic,50,50,6,94,0.06382978723404255
imm_atlas_TT_p01,10,50,celloracle,scenic,50,50,2,98,0.02040816326530612
imm_atlas_TT_p01,2,50,astar_path,celloracle,50,50,2,98,0.02040816326530612
imm_atlas_TT_p01,2,50,astar_path,scenic,50,50,4,96,0.041666666666666664
imm_atlas_TT_p01,2,50,celloracle,scenic,50,50,3,97,0.030927835051546393
imm_atlas_TT_p01,3,50,astar_path,celloracle,50,50,7,93,0.07526881720430108
imm_atlas_TT_p01,3,50,astar_path,scenic,50,50,7,93,0.07526881720430108
imm_atlas_TT_p01,3,50,celloracle,scenic,50,50,8,92,0.08695652173913043
imm_atlas_TT_p01,6,50,astar_path,celloracle,50,50,1,99,0.010101010101010102
imm_atlas_TT_p01,6,50,astar_path,scenic,50,50,5,95,0.05263157894736842
imm_atlas_TT_p01,6,50,celloracle,scenic,50,50,8,92,0.08695652173913043
imm_atlas_TT_p01,9,50,astar_path,celloracle,50,50,1,99,0.010101010101010102
imm_atlas_TT_p01,9,50,astar_path,scenic,50,50,4,96,0.041666666666666664
imm_atlas_TT_p01,9,50,celloracle,scenic,50,50,10,90,0.1111111111111111
imm_atlas_TT_p01,0,100,astar_path,celloracle,100,100,1,199,0.005025125628140704
imm_atlas_TT_p01,0,100,astar_path,scenic,100,100,9,191,0.04712041884816754
imm_atlas_TT_p01,0,100,celloracle,scenic,100,100,13,187,0.06951871657754011
imm_atlas_TT_p01,1,100,astar_path,celloracle,100,100,2,198,0.010101010101010102
imm_atlas_TT_p01,1,100,astar_path,scenic,100,100,8,192,0.041666666666666664
imm_atlas_TT_p01,1,100,celloracle,scenic,100,100,13,187,0.06951871657754011
imm_atlas_TT_p01,10,100,astar_path,celloracle,100,100,3,197,0.015228426395939087
imm_atlas_TT_p01,10,100,astar_path,scenic,100,100,8,192,0.041666666666666664
imm_atlas_TT_p01,10,100,celloracle,scenic,100,100,7,193,0.03626943005181347
imm_atlas_TT_p01,2,100,astar_path,celloracle,100,100,10,190,0.05263157894736842
imm_atlas_TT_p01,2,100,astar_path,scenic,100,100,11,189,0.0582010582010582
imm_atlas_TT_p01,2,100,celloracle,scenic,100,100,10,190,0.05263157894736842
imm_atlas_TT_p01,3,100,astar_path,celloracle,100,100,13,187,0.06951871657754011
imm_atlas_TT_p01,3,100,astar_path,scenic,100,100,14,186,0.07526881720430108
imm_atlas_TT_p01,3,100,celloracle,scenic,100,100,22,178,0.12359550561797752
imm_atlas_TT_p01,6,100,astar_path,celloracle,100,100,6,194,0.030927835051546393
imm_atlas_TT_p01,6,100,astar_path,scenic,100,100,13,187,0.06951871657754011
imm_atlas_TT_p01,6,100,celloracle,scenic,100,100,15,185,0.08108108108108109
imm_atlas_TT_p01,9,100,astar_path,celloracle,100,100,6,194,0.030927835051546393
imm_atlas_TT_p01,9,100,astar_path,scenic,100,100,11,189,0.0582010582010582
imm_atlas_TT_p01,9,100,celloracle,scenic,100,100,22,178,0.12359550561797752
imm_atlas_TT_p01,0,200,astar_path,celloracle,200,200,8,392,0.02040816326530612
imm_atlas_TT_p01,0,200,astar_path,scenic,200,200,18,382,0.04712041884816754
imm_atlas_TT_p01,0,200,celloracle,scenic,200,200,27,373,0.07238605898123325
imm_atlas_TT_p01,1,200,astar_path,celloracle,200,200,6,394,0.015228426395939087
imm_atlas_TT_p01,1,200,astar_path,scenic,200,200,16,384,0.041666666666666664
imm_atlas_TT_p01,1,200,celloracle,scenic,200,200,23,377,0.0610079575596817
imm_atlas_TT_p01,10,200,astar_path,celloracle,200,200,5,395,0.012658227848101266
imm_atlas_TT_p01,10,200,astar_path,scenic,200,200,13,387,0.03359173126614987
imm_atlas_TT_p01,10,200,celloracle,scenic,200,200,11,389,0.028277634961439587
imm_atlas_TT_p01,2,200,astar_path,celloracle,200,200,16,384,0.041666666666666664
imm_atlas_TT_p01,2,200,astar_path,scenic,200,200,17,383,0.044386422976501305
imm_atlas_TT_p01,2,200,celloracle,scenic,200,200,18,382,0.04712041884816754
imm_atlas_TT_p01,3,200,astar_path,celloracle,200,200,19,381,0.049868766404199474
imm_atlas_TT_p01,3,200,astar_path,scenic,200,200,24,376,0.06382978723404255
imm_atlas_TT_p01,3,200,celloracle,scenic,200,200,38,362,0.10497237569060773
imm_atlas_TT_p01,6,200,astar_path,celloracle,200,200,11,389,0.028277634961439587
imm_atlas_TT_p01,6,200,astar_path,scenic,200,200,23,377,0.0610079575596817
imm_atlas_TT_p01,6,200,celloracle,scenic,200,200,33,367,0.08991825613079019
imm_atlas_TT_p01,9,200,astar_path,celloracle,200,200,11,389,0.028277634961439587
imm_atlas_TT_p01,9,200,astar_path,scenic,200,200,19,381,0.049868766404199474
imm_atlas_TT_p01,9,200,celloracle,scenic,200,200,36,364,0.0989010989010989
