sampleid,cluster_id,method,stage,n_cells,n_genes_or_edges_input,n_edges_output,runtime_seconds,graph_seconds,astar_seconds,grn_seconds,ctx_seconds,notes,slowdown_vs_astar
imm_atlas_TT_p01,0,astar_path,graph+astar,1645,DoRothEA/CollecTRI filtered tool input,1841.0,2.11470890045166,0.7123863697052002,1.40232253074646,,,single-process Python A* tool summary,1.0
imm_atlas_TT_p01,0,celloracle,baseGRN-restricted ridge,1645,1813,120686.0,111.223,,,,,"CellOracle ridge, base GRN restricted, bagging=5, 24 workers",52.5949457990388
imm_atlas_TT_p01,0,cluster_mean,graph+score,1645,DoRothEA/CollecTRI filtered tool input,2027.0,0.5164735317230225,0.5164735317230225,0.0,,,single-process Python A* tool summary,0.24422913792660253
imm_atlas_TT_p01,0,scenic_ctx,grn+ctx,1645,3747,,414.5380668640137,,,73.86803817749023,340.67002868652344,"pySCENIC GRNBoost2 + cisTarget ctx, 24 workers",196.02606617652032
imm_atlas_TT_p01,1,astar_path,graph+astar,1671,DoRothEA/CollecTRI filtered tool input,1589.0,1.8472056388854983,0.7719392776489258,1.0752663612365725,,,single-process Python A* tool summary,1.0
imm_atlas_TT_p01,1,celloracle,baseGRN-restricted ridge,1671,1813,120686.0,111.301,,,,,"CellOracle ridge, base GRN restricted, bagging=5, 24 workers",60.25371385675981
imm_atlas_TT_p01,1,cluster_mean,graph+score,1671,DoRothEA/CollecTRI filtered tool input,1767.0,0.5187022686004639,0.5187022686004639,0.0,,,single-process Python A* tool summary,0.28080374901487426
imm_atlas_TT_p01,1,scenic_ctx,grn+ctx,1671,3727,,421.375465631485,,,83.48073720932007,337.8947284221649,"pySCENIC GRNBoost2 + cisTarget ctx, 24 workers",228.11508191677004
imm_atlas_TT_p01,2,astar_path,graph+astar,1259,DoRothEA/CollecTRI filtered tool input,1819.0,2.0688154697418213,0.9885563850402832,1.080259084701538,,,single-process Python A* tool summary,1.0
imm_atlas_TT_p01,2,celloracle,baseGRN-restricted ridge,1259,1813,120686.0,108.201,,,,,"CellOracle ridge, base GRN restricted, bagging=5, 24 workers",52.300943019100195
imm_atlas_TT_p01,2,cluster_mean,graph+score,1259,DoRothEA/CollecTRI filtered tool input,1950.0,0.4999673366546631,0.4999673366546631,0.0,,,single-process Python A* tool summary,0.24166840589076644
imm_atlas_TT_p01,2,scenic_ctx,grn+ctx,1259,3730,,392.7593879699707,,,54.73205876350403,338.0273292064667,"pySCENIC GRNBoost2 + cisTarget ctx, 24 workers",189.84747248578205
imm_atlas_TT_p01,3,astar_path,graph+astar,1155,DoRothEA/CollecTRI filtered tool input,1666.0,1.420192003250122,0.7395684719085693,0.6806235313415527,,,single-process Python A* tool summary,1.0
imm_atlas_TT_p01,3,celloracle,baseGRN-restricted ridge,1155,1813,120686.0,108.37,,,,,"CellOracle ridge, base GRN restricted, bagging=5, 24 workers",76.30658372388683
imm_atlas_TT_p01,3,cluster_mean,graph+score,1155,DoRothEA/CollecTRI filtered tool input,1889.0,0.4928457736968994,0.4928457736968994,0.0,,,single-process Python A* tool summary,0.34702756568760945
