sampleid,cluster_id,edge,region,n_methods_topk,in_any_label_topk,label_topk_methods,in_astar_path_top200,in_astar_path_top10,astar_path_rank,in_scenic_top200,in_scenic_top10,scenic_rank,in_celloracle_top200,in_celloracle_top10,celloracle_rank
imm_atlas_TT_p01,0,AHR->FOS,100,1,False,,True,False,71.0,False,False,,False,False,
imm_atlas_TT_p01,0,ATF1->CREB1,010,1,False,,False,False,,True,False,191.0,False,False,
imm_atlas_TT_p01,0,ATF2->JUN,100,1,False,,True,False,155.0,False,False,,False,False,
imm_atlas_TT_p01,0,ATF3->CH25H,001,1,False,,False,False,,False,False,,True,False,43.0
imm_atlas_TT_p01,0,ATF3->IRS2,001,1,False,,False,False,,False,False,,True,False,195.0
imm_atlas_TT_p01,0,ATF3->JUN,001,1,True,celloracle,False,False,,False,False,,True,True,2.0
imm_atlas_TT_p01,0,ATF3->PMAIP1,001,1,False,,False,False,,False,False,,True,False,75.0
imm_atlas_TT_p01,0,BATF->MAF,011,2,False,,False,False,,True,False,61.0,True,False,17.0
imm_atlas_TT_p01,0,BCL6->GATA3,001,1,False,,False,False,,False,False,,True,False,123.0
imm_atlas_TT_p01,0,BHLHE40->CYP51A1,010,1,False,,False,False,,True,False,160.0,False,False,
imm_atlas_TT_p01,0,BHLHE40->RUNX2,001,1,False,,False,False,,False,False,,True,False,84.0
imm_atlas_TT_p01,0,CEBPB->BCL2A1,001,1,False,,False,False,,False,False,,True,False,146.0
imm_atlas_TT_p01,0,CEBPB->CCL5,011,2,False,,False,False,,True,False,122.0,True,False,72.0
imm_atlas_TT_p01,0,CEBPB->CTSC,001,1,False,,False,False,,False,False,,True,False,106.0
imm_atlas_TT_p01,0,CEBPB->CXCR4,010,1,False,,False,False,,True,False,74.0,False,False,
imm_atlas_TT_p01,0,CEBPB->DUSP1,010,1,False,,False,False,,True,False,71.0,False,False,
imm_atlas_TT_p01,0,CEBPB->FOS,110,2,False,,True,False,33.0,True,False,45.0,False,False,
imm_atlas_TT_p01,0,CEBPB->HSPA5,010,1,False,,False,False,,True,False,116.0,False,False,
imm_atlas_TT_p01,0,CEBPB->ID2,010,1,False,,False,False,,True,False,59.0,False,False,
imm_atlas_TT_p01,0,CEBPB->IL2,010,1,False,,False,False,,True,False,28.0,False,False,
imm_atlas_TT_p01,0,CEBPB->NR3C1,010,1,False,,False,False,,True,False,64.0,False,False,
imm_atlas_TT_p01,0,CEBPB->PTGER4,010,1,False,,False,False,,True,False,168.0,False,False,
imm_atlas_TT_p01,0,CEBPB->ST6GAL1,001,1,False,,False,False,,False,False,,True,False,182.0
imm_atlas_TT_p01,0,CEBPB->TNFAIP3,011,2,True,celloracle,False,False,,True,False,29.0,True,True,1.0
imm_atlas_TT_p01,0,CEBPB->ZFP36,010,1,False,,False,False,,True,False,49.0,False,False,
imm_atlas_TT_p01,0,CREB1->FOS,100,1,False,,True,False,63.0,False,False,,False,False,
imm_atlas_TT_p01,0,CREB1->JUN,010,1,False,,False,False,,True,False,94.0,False,False,
imm_atlas_TT_p01,0,CREM->APRT,010,1,False,,False,False,,True,False,178.0,False,False,
imm_atlas_TT_p01,0,CREM->BRAF,001,1,False,,False,False,,False,False,,True,False,69.0
imm_atlas_TT_p01,0,CREM->CALM1,010,1,False,,False,False,,True,False,72.0,False,False,
imm_atlas_TT_p01,0,CREM->DUSP4,010,1,False,,False,False,,True,False,42.0,False,False,
imm_atlas_TT_p01,0,CREM->NR3C1,011,2,True,celloracle,False,False,,True,False,157.0,True,True,9.0
imm_atlas_TT_p01,0,CREM->PER1,010,1,False,,False,False,,True,False,35.0,False,False,
imm_atlas_TT_p01,0,E2F4->ACTG1,100,1,False,,True,False,157.0,False,False,,False,False,
imm_atlas_TT_p01,0,E2F4->JUN,100,1,False,,True,False,151.0,False,False,,False,False,
imm_atlas_TT_p01,0,E2F4->RPS8,100,1,False,,True,False,19.0,False,False,,False,False,
imm_atlas_TT_p01,0,EGR1->AREG,001,1,False,,False,False,,False,False,,True,False,56.0
imm_atlas_TT_p01,0,EGR1->BCL2,001,1,False,,False,False,,False,False,,True,False,185.0
imm_atlas_TT_p01,0,EGR1->BCL2A1,001,1,False,,False,False,,False,False,,True,False,120.0
imm_atlas_TT_p01,0,EGR1->FYN,001,1,False,,False,False,,False,False,,True,False,71.0
imm_atlas_TT_p01,0,EGR1->GADD45A,001,1,False,,False,False,,False,False,,True,False,136.0
imm_atlas_TT_p01,0,EGR1->MAP3K1,001,1,False,,False,False,,False,False,,True,False,193.0
imm_atlas_TT_p01,0,EGR1->NR3C1,001,1,False,,False,False,,False,False,,True,False,142.0
imm_atlas_TT_p01,0,EGR1->STMN1,001,1,False,,False,False,,False,False,,True,False,189.0
imm_atlas_TT_p01,0,EGR1->TIMP1,001,1,False,,False,False,,False,False,,True,False,104.0
imm_atlas_TT_p01,0,EGR1->TKT,001,1,False,,False,False,,False,False,,True,False,155.0
imm_atlas_TT_p01,0,EGR1->TNFSF10,001,1,False,,False,False,,False,False,,True,False,162.0
imm_atlas_TT_p01,0,EGR2->CEBPB,001,1,False,,False,False,,False,False,,True,False,181.0
