setting,model,run_id,visible_strict,visible_lineage,final_strict,final_lineage,context_score
16k,base,base_r01,0.25,0.5,0.25,0.25,1
16k,base,base_r02,0.25,0.75,0.0,0.75,1
16k,base,base_r03,0.25,0.75,0.25,0.25,2
16k,base,base_r04,0.75,1.0,0.0,0.0,1
16k,base,base_r05,0.0,0.0,0.0,0.0,2
16k,base,base_r06,0.25,0.25,0.25,0.25,0
16k,base,base_r07,0.75,1.0,0.5,0.75,1
16k,base,base_r08,0.25,0.5,0.25,0.5,2
16k,base,base_r09,0.25,0.25,0.25,0.25,1
16k,base,base_r10,0.25,0.25,0.25,0.25,1
16k,base,base_r11,0.75,0.75,0.5,0.75,1
16k,base,base_r12,0.25,0.75,0.25,0.75,1
16k,base,base_r13,0.25,0.25,0.25,0.25,2
16k,base,base_r14,0.0,0.25,0.0,0.0,0
16k,base,base_r15,0.25,0.75,0.25,0.75,1
16k,trained,trained_r01,0.25,0.75,0.25,0.75,1
16k,trained,trained_r02,0.5,0.5,0.25,0.25,2
16k,trained,trained_r03,0.25,1.0,0.0,0.0,0
16k,trained,trained_r04,0.25,0.25,0.0,0.0,1
16k,trained,trained_r05,0.5,0.75,0.25,1.0,1
16k,trained,trained_r06,0.5,0.5,0.5,0.5,1
16k,trained,trained_r07,0.25,0.25,0.25,0.5,1
16k,trained,trained_r08,0.25,0.25,0.0,0.0,1
16k,trained,trained_r09,1.0,1.0,0.75,0.75,1
16k,trained,trained_r10,0.0,0.0,0.0,0.0,1
16k,trained,trained_r14,0.25,0.5,0.25,0.5,2
16k,trained,trained_r15,0.0,0.0,0.0,0.25,2
16k,trained,trained_suppC_r01,0.25,0.25,0.5,0.75,1
16k,trained,trained_suppC_r02,0.25,0.25,0.25,1.0,1
16k,trained,trained_suppC_r03,0.5,0.75,0.5,0.75,1
32k,base,base32_r01,0.75,1.0,0.5,1.0,2
32k,base,base32_r02,0.75,0.75,0.75,0.75,2
32k,base,base32_r03,0.75,1.0,0.75,1.0,2
32k,base,base32_r04,0.25,0.25,0.25,0.25,2
32k,base,base32_r05,0.75,0.75,0.75,0.75,1
32k,base,base32_r06,0.25,0.75,0.25,0.75,1
32k,base,base32_r07,1.0,1.0,1.0,1.0,2
32k,base,base32_r08,0.25,0.5,0.0,0.0,1
32k,base,base32_r09,0.75,1.0,0.75,0.75,2
32k,base,base32_r10,0.5,0.75,0.5,1.0,2
32k,base,base32_r11,1.0,1.0,0.0,0.5,2
32k,base,base32_r12,0.25,0.75,0.25,0.75,1
32k,base,base32_r13,0.75,0.75,0.75,0.75,2
32k,base,base32_r14,0.75,1.0,0.75,1.0,2
32k,base,base32_r15,0.75,0.75,0.75,0.75,2
32k,trained,trained32_extra_r01,0.75,1.0,0.5,0.75,2
32k,trained,trained32_extra_r02,0.75,0.75,1.0,1.0,2
32k,trained,trained32_extra_r03,0.75,0.75,0.5,0.75,2
32k,trained,trained32_extra_r04,0.5,0.75,0.25,0.5,2
32k,trained,trained32_extra_r05,1.0,1.0,0.5,0.75,2
32k,trained,trained32_r01,1.0,1.0,1.0,1.0,2
32k,trained,trained32_r02,0.5,0.75,0.25,0.5,2
32k,trained,trained32_r03,0.25,0.25,0.25,0.5,2
32k,trained,trained32_r04,0.25,0.25,0.5,0.75,2
32k,trained,trained32_r05,0.5,0.75,0.5,0.75,2
32k,trained,trained32_r06,0.5,0.75,0.5,0.75,2
32k,trained,trained32_r07,0.5,0.75,0.5,0.75,2
32k,trained,trained32_r08,0.75,1.0,0.75,1.0,2
32k,trained,trained32_r09,1.0,1.0,0.0,0.0,0
32k,trained,trained32_r10,0.5,1.0,0.25,0.75,2
