track,pathway,tf_group,source,target,mor_sign,astar_rank,astar_score,alpha_i,alpha_j,mean_beta
A*,A*__GATA4,GATA4,GATA4,NPPA,1,232.0,0.6784553155979386,1.6586119515300253,0.0777103794997443,0.6784553155979386
A*,A*__GATA4,GATA4,GATA4,ADA,1,233.0,0.6783034903361198,1.6586119515300253,0.0759977845858912,0.6783034903361198
A*,A*__GATA4,GATA4,GATA4,NOS3,1,243.0,0.6707919161841022,1.6593879741703006,0.0217206428831528,0.6716676236464835
A*,A*__GATA4,GATA4,GATA4,IL5,1,249.0,0.6681268937863127,1.6593879741703006,0.0005267173099525,0.6689991221071826
A*,A*__GATA4,GATA4,GATA4,CLDN6,1,301.0,0.6471631060587019,1.6637889803995771,0.5731982354398688,0.6574491421814892
prior,prior__GATA4,GATA4,GATA4,IL5,1,249.0,0.6681268937863127,1.6593879741703006,0.0005267173099525,0.6689991221071826
prior,prior__GATA4,GATA4,GATA4,ADA,1,233.0,0.6783034903361198,1.6586119515300253,0.0759977845858912,0.6783034903361198
prior,prior__GATA4,GATA4,GATA4,NPPA,1,232.0,0.6784553155979386,1.6586119515300253,0.0777103794997443,0.6784553155979386
prior,prior__GATA4,GATA4,GATA4,NOS3,1,243.0,0.6707919161841022,1.6593879741703006,0.0217206428831528,0.6716676236464835
prior,prior__GATA4,GATA4,GATA4,ERBB2,-1,,,,,
prior,prior__GATA4,GATA4,GATA4,FLNB,1,,,,,
prior,prior__GATA4,GATA4,GATA4,KIAA1217,1,,,,,
prior,prior__GATA4,GATA4,GATA4,CLDN6,1,301.0,0.6471631060587019,1.6637889803995771,0.5731982354398688,0.6574491421814892
prior,prior__GATA4,GATA4,GATA4,CLDN14,1,,,,,
random,random__GATA4,GATA4,GATA4,LINC00327,-1,,,,,
random,random__GATA4,GATA4,GATA4,AL161652.1,-1,,,,,
random,random__GATA4,GATA4,GATA4,TTC33,-1,,,,,
random,random__GATA4,GATA4,GATA4,DRD1,-1,,,,,
