seed,tf,astar_coherence,program_shuffle_mean,random_paths_coherence,delta_vs_program,delta_vs_random,within_seed_z
0,HIF1A,0.3229359395399996,0.2619056349261352,0.180111111111111,0.06103030461386438,0.1428248284288886,1.2037913422556117
0,MEF2A,0.4202925855365024,0.2617338888076942,0.1092456479690522,0.15855869672880818,0.31104693756745017,3.3277984333007105
0,MEF2C,0.2312962623979826,0.2263010826131848,0.1402880329661088,0.0049951797847977986,0.09100822943187378,0.1081844101925532
1,HIF1A,0.2731803885828653,0.304954888521065,0.1609102564102564,-0.031774499938199696,0.1122701321726089,-0.490787370295659
1,MEF2A,0.3592446059900592,0.2424133415325326,0.1283821097188349,0.11683126445752659,0.2308624962712243,3.14509561589635
1,MEF2C,0.272050440107046,0.1959086301360109,0.1106884758781151,0.07614180997103509,0.1613619642289309,1.7476508267840938
2,HIF1A,0.2573786997316409,0.2523702833114597,0.1769102564102564,0.005008416420181183,0.0804684433213845,0.11129287766738
2,MEF2A,0.4215332045584572,0.2147408108213054,0.1325857090796961,0.20679239373715183,0.2889474954787611,3.4623306648724324
2,MEF2C,0.3039541230250482,0.2331099300322183,0.1031896672553471,0.0708441929928299,0.2007644557697011,1.1366120844474623
3,HIF1A,0.4446479349110927,0.2877043283227494,0.1518974358974358,0.15694360658834333,0.2927504990136569,2.6404286820450644
3,MEF2A,0.4559947094731287,0.3020437243506811,0.1195503602164101,0.1539509851224476,0.3364443492567186,3.134714755335878
3,MEF2C,0.2111829959156885,0.1919693636664256,0.1121677459142768,0.019213632249262896,0.0990152500014117,0.5057930233132969
4,HIF1A,0.3456452283868667,0.2789434602669471,0.1358333333333333,0.06670176811991957,0.20981189505353337,1.4030416911150632
4,MEF2A,0.5044281953475952,0.21648791344788,0.0949513637765256,0.2879402818997152,0.4094768315710696,5.859043843374775
4,MEF2C,0.3272526335819698,0.2283461119972174,0.0959330586157598,0.09890652158475241,0.23131957496621003,3.115684865838953
