tf,method,n_ko,n_cells,n_targets,coherence,n_paths,coh_shuffle_mean,coh_shuffle_std,coh_z
MEF2C,astar_path,227,908.0,70.0,0.23129626239798265,20.0,,,
MEF2C,random_paths,227,908.0,70.0,0.14028803296610884,20.0,,,
MEF2C,phate1_order,227,908.0,70.0,0.12941103916127042,20.0,,,
MEF2C,n_genes_order,227,908.0,70.0,0.15464496958484006,20.0,,,
MEF2C,cluster_mean,227,908.0,70.0,0.015929904362097642,1.0,,,
MEF2C,ASTAR_vs_SHUFFLE,227,,,0.23129626239798265,,0.22630108261318482,0.04617282349390904,0.10818441019255327
MEF2A,astar_path,229,916.0,102.0,0.42029258553650245,20.0,,,
MEF2A,random_paths,229,916.0,102.0,0.10924564796905223,20.0,,,
MEF2A,phate1_order,229,916.0,102.0,0.116381016455022,20.0,,,
MEF2A,n_genes_order,229,916.0,102.0,0.0973216438202562,20.0,,,
MEF2A,cluster_mean,229,916.0,102.0,0.04489211310946899,1.0,,,
MEF2A,ASTAR_vs_SHUFFLE,229,,,0.42029258553650245,,0.2617338888076942,0.04764672397653056,3.3277984333007105
HIF1A,astar_path,129,516.0,252.0,0.32293593953999966,20.0,,,
HIF1A,random_paths,129,516.0,252.0,0.18011111111111108,20.0,,,
HIF1A,phate1_order,129,516.0,252.0,0.12150854700854699,20.0,,,
HIF1A,n_genes_order,129,516.0,252.0,0.16799999999999998,20.0,,,
HIF1A,cluster_mean,129,516.0,252.0,0.04879663794936921,1.0,,,
HIF1A,ASTAR_vs_SHUFFLE,129,,,0.32293593953999966,,0.2619056349261352,0.05069840699777519,1.2037913422556117
